## Este sera o log apresentado apos o insert ser concluido ##

INFO:root:Query realizada:  INSERT INTO public.service_types(name, description, nature, deadline, counting_type, initiative)VALUES ('Falta De �gua Geral', 'Falta De �gua Geral', 'Teste', 'Teste', 'Teste', 'Teste');

INFO:root:Query realizada:  INSERT INTO public.service_types(name, description, nature, deadline, counting_type, initiative)VALUES ('Falta De �gua Local', 'Falta De �gua Local', 'Teste', 'Teste', 'Teste', 'Teste');

INFO:root:Query realizada:  INSERT INTO public.service_types(name, description, nature, deadline, counting_type, initiative)VALUES ('Fechamento Risco De Sinistro', 'Fechamento Risco De Sinistro', 'Teste', 'Teste', 'Teste', 'Teste');

INFO:root:Query realizada:  INSERT INTO public.service_types(name, description, nature, deadline, counting_type, initiative)VALUES ('Muita Press�o De �gua', 'Muita Press�o De �gua', 'Teste', 'Teste', 'Teste', 'Teste');

INFO:root:Query realizada:  INSERT INTO public.service_types(name, description, nature, deadline, counting_type, initiative)VALUES ('Pouca Press�o De �gua Geral', 'Pouca Press�o De �gua Geral', 'Teste', 'Teste', 'Teste', 'Teste');

INFO:root:Query realizada:  INSERT INTO public.service_types(name, description, nature, deadline, counting_type, initiative)VALUES ('Pouca Press�o De �gua Local', 'Pouca Press�o De �gua Local', 'Teste', 'Teste', 'Teste', 'Teste');

INFO:root:Query realizada:  INSERT INTO public.service_types(name, description, nature, deadline, counting_type, initiative)VALUES ('Cavalete Quebrado', 'Cavalete Quebrado', 'Teste', 'Teste', 'Teste', 'Teste');

INFO:root:Query realizada:  INSERT INTO public.service_types(name, description, nature, deadline, counting_type, initiative)VALUES ('Cavalete Vazando', 'Cavalete Vazando', 'Teste', 'Teste', 'Teste', 'Teste');

INFO:root:Query realizada:  INSERT INTO public.service_types(name, description, nature, deadline, counting_type, initiative)VALUES ('Registro Do Cavalete Invertido', 'Registro Do Cavalete Invertido', 'Teste', 'Teste', 'Teste', 'Teste');

INFO:root:Query realizada:  INSERT INTO public.service_types(name, description, nature, deadline, counting_type, initiative)VALUES ('Registro Do Cavalete Quebrado', 'Registro Do Cavalete Quebrado', 'Teste', 'Teste', 'Teste', 'Teste');

INFO:root:Query realizada:  INSERT INTO public.service_types(name, description, nature, deadline, counting_type, initiative)VALUES ('Registro Do Cavalete Vazando', 'Registro Do Cavalete Vazando', 'Teste', 'Teste', 'Teste', 'Teste');

INFO:root:Query realizada:  INSERT INTO public.service_types(name, description, nature, deadline, counting_type, initiative)VALUES ('Qualidade De Agua - Cheiro Op', 'Qualidade De Agua - Cheiro Op', 'Teste', 'Teste', 'Teste', 'Teste');

INFO:root:Query realizada:  INSERT INTO public.service_types(name, description, nature, deadline, counting_type, initiative)VALUES ('Qualidade De Agua - Cor Op', 'Qualidade De Agua - Cor Op', 'Teste', 'Teste', 'Teste', 'Teste');

INFO:root:Query realizada:  INSERT INTO public.service_types(name, description, nature, deadline, counting_type, initiative)VALUES ('Qualidade De Agua - Gosto Op', 'Qualidade De Agua - Gosto Op', 'Teste', 'Teste', 'Teste', 'Teste');

INFO:root:Query realizada:  INSERT INTO public.service_types(name, description, nature, deadline, counting_type, initiative)VALUES ('Aferir Hidr�metro No Local', 'Aferir Hidr�metro No Local', 'Teste', 'Teste', 'Teste', 'Teste');

